product_id,type,sku,name,ean,description,price,special_price,special_from_date,special_to_date,url_key,image,color,weight,set,size
250201,simple,141607_22__,RB Brooklyn Snapback Black,,RB Brooklyn Snapback,9999.0000,,,,rb-brooklyn-snapback-black,,104,1.0000,23,
2582,configurable,115425_13,Hustler Liberty Flexfit Cap Lila,,Hustler Liberty Flexfit Cap,249.0000,,,,hustler-liberty-flexfit-cap-lila-3,,113,,15,
2694,configurable,115994_2,MLB Basic - Yankees Blå,,MLB Basic - Yankees,399.0000,,,,mlb-basic-yankees-bla,,19,,14,
32293,simple,100685_22__,Revolution Cap Black,,Revolution Cap,0.0000,,,,revolution-cap-black,,104,1.0000,23,
32296,simple,101603_16__,Tie Down Cap Navy,,Tie Down Cap,9999.0000,,,,tie-down-cap-navy,,110,1.0000,23,
32297,simple,101604_4__,Tie Down Cap Camo,,Tie Down Cap,0.0000,,,,tie-down-cap-camo,,18,1.0000,23,
32298,simple,101626_2__,Stocking Cap Blue,,Stocking Cap,9999.0000,,,,stocking-cap-blue,,19,1.0000,23,
32299,simple,101627_7__,Stocking Cap Grey,,Stocking Cap,0.0000,,,,stocking-cap-grey,,119,1.0000,23,
32300,simple,101628_2__,Stocking Cap Blue,,Stocking Cap,0.0000,,,,stocking-cap-blue-3,,19,1.0000,23,
32301,simple,101629_16__,Stocking Cap Navy,,Stocking Cap,0.0000,,,,stocking-cap-navy,,110,1.0000,23,
32302,simple,101630_19__,Stocking Cap Red,,Stocking Cap,0.0000,,,,stocking-cap-red,,107,1.0000,23,
32304,simple,102422_18__,Rasta Beanie Rasta,,Rasta Beanie,0.0000,,,,rasta-beanie-rasta,,108,1.0000,23,
32305,simple,103857_16__,Gee U Knit Navy,,Gee U Knit,0.0000,,,,gee-u-knit-navy,,110,1.0000,23,
32306,simple,104452_19__,Cleany Beanie Stripe Red,,Cleany Beanie Stripe,0.0000,,,,cleany-beanie-stripe-red,,107,1.0000,23,
32307,simple,104458_22__,Cleany Beanie Stripe Black,,Cleany Beanie Stripe,0.0000,,,,cleany-beanie-stripe-black,,104,1.0000,23,
32308,simple,104460_2__,Cleany Beanie Blue,,Cleany Beanie,0.0000,,,,cleany-beanie-blue,,19,1.0000,23,
32309,simple,104463_7__,Logo Knit Grey,,Logo Knit,0.0000,,,,logo-knit-grey,,119,1.0000,23,
32311,simple,104577_22__,Metal NY Yankees Knit Hat Black,,Metal NY Yankees Knit Hat,0.0000,,,,metal-ny-yankees-knit-hat-black,,104,1.0000,23,
32312,simple,104881_19__,Milknit Red,,Milknit,0.0000,,,,milknit-red,,107,1.0000,23,
32314,simple,104983_3__,Stocking Cap Brown,,Stocking Cap,0.0000,,,,stocking-cap-brown,,20,1.0000,23,
32315,simple,105017_13__,Tie Down Cap Purple,,Tie Down Cap,9999.0000,,,,tie-down-cap-purple,,113,1.0000,23,
32316,simple,105018_21__,Tie Down Cap Silver,,Tie Down Cap,0.0000,,,,tie-down-cap-silver,,105,1.0000,23,
32370,simple,105932_3__,Tie Down Cap  Brown,,Tie Down Cap ,9999.0000,,,,tie-down-cap-brown,,20,1.0000,23,
32371,simple,105933_8__,Tie Down Cap  Green,,Tie Down Cap ,9999.0000,,,,tie-down-cap-green,,118,1.0000,23,
32372,simple,105935_2__,Tie Down Cap Blue,,Tie Down Cap,0.0000,,,,tie-down-cap-blue,,19,1.0000,23,
32373,simple,105936_22__,Tie Down Cap Black,,Tie Down Cap Black,0.0000,,,,tie-down-cap-black,,104,1.0000,23,
32374,simple,105937_9__,Tie Down Cap Yellow,,Tie Down Cap,9999.0000,,,,tie-down-cap-yellow,,117,1.0000,23,
32411,simple,107057_7__,Tie Down Cap Grey,,Tie Down Cap Grey,0.0000,,,,tie-down-cap-grey,,119,1.0000,23,
32413,simple,107059_15__,Tie Down Cap Multi,,Tie Down Cap,0.0000,,,,tie-down-cap-multi,,111,1.0000,23,
32414,simple,107060_21__,Stocking Cap Silver,,Stocking Cap,0.0000,,,,stocking-cap-silver,,105,1.0000,23,
32438,simple,107899_3__,Stocking Cap Skeleton Brown,,Stocking Cap Skeleton Brown,0.0000,,,,stocking-cap-skeleton-brown,,20,1.0000,23,
32472,simple,108667_19__,Tie Down Cap Red,,Tie Down Cap,0.0000,,,,tie-down-cap-red,,107,1.0000,23,
32473,simple,108668_24__,Tie Down Cap White,,Tie Down Cap,0.0000,,,,tie-down-cap-white,,102,1.0000,23,
32492,simple,109224_22__,Mecca - Reversible Beanie Black,,Mecca - Reversible Beanie Black,0.0000,,,,mecca-reversible-beanie-black,,104,1.0000,23,
32493,simple,109237_22__,Gemma Beanie Black,,Gemma Beanie Black,0.0000,,,,gemma-beanie-black,,104,1.0000,23,
32606,simple,109889_16__,Cleany Beanie Stripe Navy,,Cleany Beanie Stripe,0.0000,,,,cleany-beanie-stripe-navy,,110,1.0000,23,
32616,simple,109900_19__,Cleany Beanie Red,,Cleany Beanie,0.0000,,,,cleany-beanie-red,,107,1.0000,23,
32806,simple,110473_22__,Allover Skull Beanie Black,,Allover Skull Beanie,0.0000,,,,allover-skull-beanie-black,,104,1.0000,23,
33150,simple,110773_22__,Beanie Regular Stripe Black,,Beanie Regular Stripe Black,0.0000,,,,beanie-regular-stripe-black,,104,1.0000,23,
33151,simple,110774_24__,Beanie Regular Stripe White,,Beanie Regular Stripe White,0.0000,,,,beanie-regular-stripe-white,,102,1.0000,23,
33152,simple,110775_13__,Beanie Regular Stripe Purple,,Beanie Regular Stripe,0.0000,,,,beanie-regular-stripe-purple,,113,1.0000,23,
33659,simple,112917_9__,Stocking Cap Yellow,,Stocking Cap Yellow,49.0000,,,,stocking-cap-yellow,,117,1.0000,23,
33660,simple,112918_24__,Tie Down Cap White,,Tie Down Cap White,0.0000,,,,tie-down-cap-white-1,,102,1.0000,23,
33661,simple,112919_2__,Tie Down Cap Blue,,Tie Down Cap Blue,0.0000,,,,tie-down-cap-blue-1,,19,1.0000,23,
34551,simple,113398_24__,Alex Descisions White,,Alex Descisions White,0.0000,,,,alex-descisions-white,,102,1.0000,23,
34559,simple,113399_22__,Alex Descisions Black,,Alex Descisions Black,0.0000,,,,alex-descisions-black,,104,1.0000,23,
34560,simple,113401_24__,Alex Brushprint White,,Alex Brushprint White,0.0000,,,,alex-brushprint-white,,102,1.0000,23,
34580,simple,113420_23__,Trucker High Profil Cap Turquoise,,Trucker High Profil Cap,0.0000,,,,trucker-high-profil-cap-turquoise,,103,1.0000,23,
34581,simple,113422_9__,Trucker High Profil Cap Yellow,,Trucker High Profil Cap,0.0000,,,,trucker-high-profil-cap-yellow,,117,1.0000,23,
34582,simple,113424_23__,Trucker High Profil Cap Turquoise,,Trucker High Profil Cap,0.0000,,,,trucker-high-profil-cap-turquoise-1,,103,1.0000,23,
34583,simple,113426_2__,Trucker High Profil Cap Blue,,Trucker High Profil Cap,0.0000,,,,trucker-high-profil-cap-blue,,19,1.0000,23,
34584,simple,113427_16__,Trucker High Profil Cap Navy,,Trucker High Profil Cap,0.0000,,,,trucker-high-profil-cap-navy,,110,1.0000,23,
34585,simple,113428_13__,Trucker High Profil Cap Purple,,Trucker High Profil Cap,0.0000,,,,trucker-high-profil-cap-purple,,113,1.0000,23,
34960,simple,113566_3__,Trucker High Profil Cap Brown,,Trucker High Profil Cap,0.0000,,,,trucker-high-profil-cap-brown,,20,1.0000,23,
34961,simple,113567_19__,Trucker High Profil Cap Red,,Trucker High Profil Cap,0.0000,,,,trucker-high-profil-cap-red,,107,1.0000,23,
34962,simple,113569_22__,Trucker High Profil Cap Black,,Trucker High Profil Cap,0.0000,,,,trucker-high-profil-cap-black,,104,1.0000,23,
34970,simple,113570_8__,Trucker High Profil Cap Green,,Trucker High Profil Cap,0.0000,,,,trucker-high-profil-cap-green,,118,1.0000,23,
34971,simple,113571_13__,Trucker High Profil Cap Purple,,Trucker High Profil Cap,0.0000,,,,trucker-high-profil-cap-purple-1,,113,1.0000,23,
