category_id,parent_id,name,description,is_active,level,image
1,0,Root Catalog,,,0,
2,1,Topstreetwear,"{:""@xsi:type""=>""xsd:string""}",1,1,
213,2,Latest,"{:""@xsi:type""=>""xsd:string""}",1,2,
3,2,Pants,"In this category you find our wide selection of pants. We have divided this category into shorts, sweatpants, chinos and jeans and if you are looking for a specific fit of jeans you may choose that as well. Whether you like your jeans baggy, regular or slim you can be sure of finding what you want at TS - Top Streetwear!",1,2,Byxor-Jeans_1.png
22,3,Jeans,Find your new favourite jeans at TSW - Top Streetwear! We always load our warehouses with the new models for each season from our wide selection of brands. We have divided jeans in three categories to make it easy to find what typ of jeans you are looking for. We guarantee you'll find your new favourites amongs the awsome new stuff we just got in this season!,1,3,jeans.png
214,22,Loose-Fit,"{:""@xsi:type""=>""xsd:string""}",1,4,jeans-loose-fit.png
215,22,Baggy-Fit,"{:""@xsi:type""=>""xsd:string""}",1,4,jeans-baggy.png
216,22,Slim-Fit,"{:""@xsi:type""=>""xsd:string""}",1,4,jeans-slim.png
425,22,Skinny Fit,"{:""@xsi:type""=>""xsd:string""}",1,4,
426,22,- Basic Denim,"{:""@xsi:type""=>""xsd:string""}",0,4,
173,3,Chinos,"We have the coolest chinos from some of the worlds most renown chino brands. Whether you feel like dressing up a bit or just have an alternative to jeans you can be sure to find it at TSW - Topstreetwear. Chinos are awsome so if you are looking for a pair you'll find them here, and if you don't have any make sure to get some now!",1,3,chinos_1.png
21,3,Sweatpants,Pick and choose from this years hottest sweatpants! We have the best sweatpants in a large variety of colors and styles so you can be sure you find what you are looking for. Works in the gym as well as everyday pants for those who like!,1,3,mjukisbyxor.png
20,3,Shorts,"Too hot outside for pants? We have this summers best shorts everyday use or for a day on the beach. Just as in jeans we have many different styles to chose from here in all kinds of garments. Check out our awesome shorts from our wide selection of brands and find a pair you like, and that'll make you look good on those hot summer days!",1,3,shorts.png
137,2,T-Shirts,T-Shirts we all wear almost everyday and it is always fun to have a few alternatives at home to pick and chose from before you go out and meet the day. We have a wide range of products in many different brands from basic tees to more detailed alternatives with lots of colors and prints.,1,2,t-shirts_1.png
201,137,T-Shirts,T-Shirts we all wear almost everyday and it is always fun to have a few alternatives at home to pick and chose from before you go out and meet the day. We have a wide range of products in many different brands from basic tees to more detailed alternatives with lots of colors and prints.,1,3,t-shirts_2.png
203,137,Tall Tees,"Tall Tees is a classic hip hop design tee that has become extremely popular over the years. Available in a variety of colors and color combinations that you can match with the rest of your outfit. Available in sizes M, L, XL, 2XL, 3XL, 4XL, 5XL and 6XL. In other words, there is always a size and a color that suits you!",1,3,tall-tees.png
138,137,Tank Tops,"Sometimes when the sun is hot, you want something cool without sleeves. We have everything from the more traditional, single-colored Tank tops or styles with less detail to more embellished designes with cool prints. Tank tops are always nice to have at the beach and also with jeans or shorts!",1,3,linnen.png
469,137,Long Sleeve ,,1,3,
139,137,Polos,At those moments when you should be well dressed but want to keep it simple a polo is a perfect alternative. Sometimes you don't have time to iron a  shirt and also then a polo is a would work as a substitute for a shirt. We have colorful polos with patterns and single colored polos if you want something more traditional.,1,3,pikeer.png
135,137,Shirts,"Sometimes you have to dress up and then it is most important that you have a nice shirt. We always stock up on the seasons coolest shirts so you have some to chose from, and to look good in, at a party or at work. Some are more formal and we usually have both long and shortsleeve alternatives.",1,3,skjortor.png
6,2,Hoodies,"We at TS - Top Streetwear always make sure to have a wide selection of cool sweatshirts. You never have to worry about not finding something in your style! we have everything from sweatshirts with cool prints and stylish sweatshirts with a designer cuts or lots of color. Choose from our categories Zip Hoodies, Hoodies and Sweaters!",1,2,trojor_1.png
136,6,Zip Hoodies,"Here you can find all our hoodies without zippers. Just like the Zip Hoodies, this is a style we love and that should exist in every mans wardrobe. We have single-colored hoodies and hoodies with big detailed printing. Some designs are more relaxed and some have a more traditional fit. You can count on finding something you like here as well!",1,3,trojor_2.png
206,6,Hoodies,Everyone likes a cool zip hoodie. We have invested enormously in one of our favorite pieces of clothing so you will find your new favorite zip hoodie in our shop. We have everything from plain hooded sweatshirts without prints to hoodies with awsome embroideries and designs. Just pick the one you like the most!,1,3,hoodies-no-zip.png
202,6,Sweater,"Everyone needs something simple and warm to put on when it's a bit colder outside. Here we have nice single colored options and sweaters with prints and embroideries. Sweaters are a must have so whether you like plain style or the ones with details, there's always a cool sweater for you at TS - Top Streetwear!",1,3,sweater.png
434,6,Sweatsuits,"{:""@xsi:type""=>""xsd:string""}",1,3,
5,2,Jackets,"The seasons give us different weather and therefore we offer jackets that suit all kinds of situations. Whether it is raining, windy outside or just plain cold weather, we have an option that will warm you or keep you dry a rainy day. The difference is our jackets make you look good no matter what weather is out there!",1,2,jackor_2.png
167,5,Winter Jackets,In most places corners of the world it gets really cold at least a few weeks every year. Because of this we have some great jackets to keep you warm in even the coldest of days. Are you tired of freezing? Choose one of our winter jackets and you'll be both warm and cool at the same time!,1,3,vinterjackor.png
133,5,Jackets,"The seasons give us different weather and therefore we offer jackets that suit all kinds of situations. Whether it is raining, windy outside or just plain cold weather, we have an option that will warm you or keep you dry a rainy day. The difference is our jackets make you look good no matter what weather is out there!",1,3,windbreaker.png
430,5,Windbreakers,"{:""@xsi:type""=>""xsd:string""}",1,3,
134,5,Track Jackets,"Track Jackets were originally only used as a training clothing but is nowadays used frequently in everyday life. Track jackets usually have a front zipper with a high collar, but beyond that they can look very different. We have everything from single-colored track jackets to the detailed models with cool prints. Take a look below and you will surely find one that you'll like!",1,3,trackjackets.png
433,5,Vest,"{:""@xsi:type""=>""xsd:string""}",1,3,
8,2,Headwear,Keep your head warm with a nice beanie or the sun out of your eyes in a cool cap. We have a wide range of headwear in many shapes and designs for you to chose from. Our cap collection is something we prioritize highly and at TS - Top Streetwear you chose from the biggest cap brands in the business!,1,2,Kepsar-Mossor_1.png
161,8,Caps,A cool cap is most important if you want to look fly from top to bottom. We have all kinds of caps in a wide variety of colors and sizes for you to chose from so you can count on finding a lot here you like. Our cap collection is from smaller exclusive designers to the worlds biggest and most famous cap manufacturers.,1,3,rakakepsar.png
318,161,Snapback,"{:""@xsi:type""=>""xsd:string""}",1,4,
357,161,Fitted,"{:""@xsi:type""=>""xsd:string""}",1,4,
163,8,Beanies,"Beanies are not only practical when it is cold outside, they can also look great! We have a good size collection of beanies that keep you both warm and cool at the same time. So hit the slopes in style next time in one of our awsome beanies!",1,3,mossor.png
160,8,Hats,If you want to wear something other than a cap a hat is a very cool alternative. Works well with a nice shirt and gives you a more well dressed look perfect for a party or at the club. If you haven't already - Try it!,1,3,hattar.png
162,8,Durags,Durags is very common amongs hip hop artists around the world. They can be worn seperatly or with a cap on top for a cool classic hip hop look. We have single colored styles and a few with details or prints. Pick a color you like or one that suits your cap the best!,1,3,durags.png
140,2,Accessories,"Here you find all out cool belts, scarves, bandanas, bags, wallets, headphones, sunglasses, shoe laces, watches and much more. All this stuff we have in many styles and colors so you have a lot to chose from. Our accessories will give you a boost and make an avarage outfit look fly!",1,2,accessoarer_3.png
10,140,Jewelry,"{:""@xsi:type""=>""xsd:string""}",1,3,smycken.png
164,10,- Earrings,We have a variety of earrings in different shapes and sizes for you to chose from. Some earrings have larger stones and some have several smaller ones. Often we have similar earrings in both silver and gold color so you can chose the one you think suits you best!,1,4,orhangen.png
165,10,- Necklaces,Here we have some cool stuff for those who like bling. We have dollarsigns and dogtags covered in stones will give you a cool hip hop look that always works well at a party. Get yourselfe iced out today!,1,4,halsband.png
166,10,- Grillz,Do you like bling and want to take it a step further? Then it is time for you to ice out your teeth! Grillz are gold or silver teeth with our without stones in different colors and shapes. Try it - You might like it!,0,4,grillz.png
435,10,- Bracelets,"{:""@xsi:type""=>""xsd:string""}",1,4,
141,140,Belts,Baggy jeans is always cool but can be tricky without a belt. More then the practical reason of wearing a belt we have some designs that are really awsome. We have single colored belts to more detailed styles in all kinds of colors and sizes. Put some color to your jeans with one of our many alternatives!,1,3,balten.png
142,140,Scarves,"Stylish accessory that works equally well for boys as for girls. We have both thick scarves for the winter and thinner options for summer a evening, or indoors during the colder days. Just as nice all year round, according to us!",1,3,halsdukar.png
143,140,Watches,"Watches are a man's most important and most common accessory. We have everything from the more classic looking watches, for a smart and serious impression, to casual and playful versions in many colors. Match one of the colorful watches with your T-shirt and cap or try a large watch with a lot of bling!",1,3,klockor.png
144,140,Wallets,Keep track of your cash on the hottest possible way! Here are some cool wallets for you who think that the classic single-colored leather wallet is a bit boring. Choose one with a nice print and awesome quality!,1,3,planbocker.png
145,140,Bags,"All of us use bags and we have a nice collection of different models so you find one that fits your needs. Whether you need a bag to school, to the gym or work, we have something that'll work perfect for you. Choose from backpacks, shoulder bags and lots more!",1,3,vaskor.png
146,140,Others,"Is there something you are looking for but not found in any of the other categories, you've come to the right place. Here you find all our miscellaneous items that didn't fit under any other category!",1,3,accessoarer_4.png
147,140,Skateboards,"Here you will find our assortment of cool and qualitative skateboards, trucks, skate wheels, grip tape and other skateboard accessories. If you have not tried skateboarding you just gotta try it! Crazy adictive activity that is popular worldwide. Skateboarding is a lifestyle!",0,3,Kategorier_1.png
9,140,Sunglasses,When the sun is shining that most it can be nice to rest your eyes behind a pair of cool shades. We have a wide range of different models in a lot of different colors. Here you will find a good mix of the latest sunglasses to the timeless classics that year after year are just as popular.,1,3,solglasogon.png
149,140,Headphones,"The most important thing with headphones is that they fit well and are of good quality but they are also be a cool accessory. Match your headphones with a cap or choose a pair with a unique design you like. We have both large headphones and in-ear headphones, both of them in various colors and designs.",1,3,horlorar.png
204,140,Bandana,"Easier ways to improve your outfit does not exist! Choose a few bandanas in various colors and designs and match with your shoes, cap or your Tall Tee. We have bandanas from many different brands, with or without prints, in all kind of colors! ",1,3,bandanas.png
431,140,Gloves,"{:""@xsi:type""=>""xsd:string""}",1,3,
11,140,Underwear,"Fresh underwear is a must if you wanna feel well dressed from head to toe. We have gathered our different models under two categories, boxers and panties seperately, so you quickly find what you're looking for. Choose from cool prints and bright colors from some of the best underwear manufacturers!",1,3,Underklader_1.png
155,11,Mens underwear,"Underwear may not be the first thing you see when you meet someone, but it could be the last! We have a wide range of boxer shorts for you to choose from that you will feel cool in whether you like lots of details or maybe lots of color.",1,4,kalsanger.png
156,11,Womens underwear,"For you ladies, we have chosen to focus on sexy hipsters, hot pants and cool, comfortable boxers. We have designs with detailed patterns to simple monochrome models for you to choose from. At TS - Top Streetwear you always find fresh panties!",1,4,trosor.png
7,2,Sneakers,"Complete your outfit with a pair of awesome shoes! We have sneakers, boots, flip flops and high heels in all colors from some of the world's largest shoe manufacturers. Nice shoes can improve any outfit so be sure to stock up on a few cool pairs so you always look fly!",1,2,skor_1.png
152,7,Sneakers,"Almost everyone has a pair of sneakers, if not several pairs! Sneakers may be the key ingredient for a complete and cool outfit so we have plenty here for you to choose from. Match with other pieces to get a perfect outfit from top to toe!",1,3,sneakers.png
151,7,Flipflops,"Sometimes it's too hot for sneakers and in these cases flip flops are perfect. They are open, easy to take on and off and weighs almost nothing. They are popular worldwide and we have selected a few models we think are cool for you to choose from. Flip flops are perfect for the beach!",1,3,flipflop.png
432,7,Shoelaces,"{:""@xsi:type""=>""xsd:string""}",1,3,
150,7,Socks,We have various models and designs depending on how you want your socks to look and fit. Try a cool pair of tube socks to shorts for a hip-hop look or a cool pair of low socks to keep your shoes fresh!,1,3,strumpot.png
12,2,Girls,"Here you find our great selection of clothing for girls. The garments we have focused on are hooded sweatshirts, track jackets, hooded jackets, sweatpants and underwear. We focus on simple and colorful clothing with feminine flair in structure and shape. The clothes will definitely attract attention from guys!",1,2,Tjejklader_1.png
153,12,Tops,When it is party time it's fun to dress up! We have sexy and beautiful tops that are cut to show off your curves in a nice way. We have single colored and printed alternatives here to choose from. Be the center of attention in any of our tops at your next party!,1,3,tjej-t-shirt-top.png
168,12,Hoodies,Hoodies and sweaters are equally popular for girls as for boys so we have lots of these in feminine colors and fitted for a girls body. Look sharp at school or at work in one of our luxurious hoodies from one of our many brands!,1,3,tjejtr_jor_1.png
170,12,Jackets,We love jackets and our women's designs are super hot! We have classic track jackets in many colors and nice wind runners in lightweight materials for those who like them. Simple is beautiful and that is why we opted for traditional street jackets for you ladies. Here you will find the absolute best looking ones on the web!,1,3,tjejjackor.png
169,12,Jeans / Pants,"For the ladies we have picked different models of the most common types of pants for girls. From neatly cut soft pants and exclusive jeans to super sexy leggings in many colors. So even if you are looking for something to party in or something cozy, you can be sure to find what you like.",1,3,tjejbyxor.png
154,12,Dresses,Here you can find all our summery and sexy dresses. There is no easier way to look fabolous on a hot summer day than in a colorful dress. We at TS - Top Streetwear love dresses and hope you love our styles as much as we do!,1,3,tjej-klaning.png
171,12,Accessories,,1,3,
172,12,Shoes,"Pumps, high heels and sandals. There is much to choose from as a girl but sneakers are not to be overlooked. We have both comfortable and stylish sneakers for you ladies, whether you like the classic single-colored style shoe or shoes with more color and details. Choose from our many quality brands, you will certainly find a few pairs you like!",1,3,tjej-skor.png
13,2,Junior,"Here you will find the latest street clothes for your kids. TS - Top Streetwear have long chosen to focus on street clothes for the slightly younger crowd and nowadays we have a large selection of kids clothes to choose from. As for the adults, we have baggy jeans, jeans, sweatpants, T-Shirts, Hoodies, Sweatshirts and Jackets. Buy something here your son will love!",1,2,Barnklader_2.png
157,13,Hoodies / Jackets,"All kids like cool hoodies and jackets that keeps you warm when you are out playing. We have lots of different brands, sizes and designs that you can choose from and find one that fits in both taste and size. Our jackets and hoodies are just as cool as they are practical!",1,3,barn-jackor-trojor.png
